2024-08-16,Scanner,192.48,Ahmedabad,CUST00169,3
2024-08-30,Monitor,2989.12,Bangalore,CUST00668,4
2024-11-27,Laptop,3947.14,Mumbai,CUST00533,3
2024-02-01,Keyboard,4959.37,Hyderabad,CUST00723,4
2024-01-15,Keyboard,818.84,Delhi,CUST00012,2
2024-02-13,Scanner,2521.17,Mumbai,CUST00185,2
2024-03-17,Webcam,1647.14,Ahmedabad,CUST00943,4
2024-04-07,Laptop,2391.75,Hyderabad,CUST00735,5
2024-07-27,Laptop,1174.05,Mumbai,CUST00877,4
2024-05-26,Scanner,1489.39,Ahmedabad,CUST00030,1
2024-08-09,Headphones,1042.42,Mumbai,CUST00345,1
2024-03-07,Monitor,1346.5,Bangalore,CUST00159,2
2024-12-16,Laptop,4394.13,Delhi,CUST00499,5
2024-11-14,Webcam,2196.58,Bangalore,CUST00549,4
2024-05-25,Scanner,1672.4,Bangalore,CUST00191,2
2024-03-21,Webcam,2580.99,Pune,CUST00404,2
2024-09-07,Scanner,1222.88,Chennai,CUST00611,2
2024-08-09,Webcam,3076.07,Mumbai,CUST00212,3
2024-07-21,Laptop,2946.57,Delhi,CUST00940,5
2024-02-27,Monitor,4254.18,Delhi,CUST00897,1
2024-07-17,Printer,4552.91,Kolkata,CUST00179,4
2024-12-17,Scanner,4102.96,Bangalore,CUST00513,3
2024-10-25,Printer,3799.68,Delhi,CUST00090,2
2024-07-07,Printer,3511.07,Mumbai,CUST00941,4
2024-10-29,Printer,3681.33,Mumbai,CUST00136,1
2024-11-23,Scanner,3934.56,Mumbai,CUST00189,1
2024-10-05,Mouse,3364.84,Bangalore,CUST00924,5
2024-10-23,Keyboard,521.69,Delhi,CUST00830,3
2024-07-02,Keyboard,1884.97,Delhi,CUST00639,1
2024-02-06,Webcam,165.18,Bangalore,CUST00716,1
2024-01-31,Keyboard,1439.58,Pune,CUST00741,5
2024-10-20,Keyboard,4897.8,Hyderabad,CUST00321,1
2024-11-06,Mouse,1972.34,Delhi,CUST00718,1
2024-08-26,Keyboard,4686.92,Kolkata,CUST00747,2
2024-01-19,Monitor,1953.82,Mumbai,CUST00884,4
2024-02-01,Keyboard,3613.04,Chennai,CUST00660,5
2024-11-17,Webcam,4326.45,Delhi,CUST00619,1
2024-06-21,Mouse,3054.83,Bangalore,CUST00211,3
2024-07-28,Keyboard,4036.05,Delhi,CUST00210,1
2024-12-12,Webcam,265.32,Hyderabad,CUST00500,1
2024-01-26,Scanner,2270.22,Kolkata,CUST00325,2
2024-05-16,Monitor,2776.0,Delhi,CUST00649,4
